year,season,Ftemp
1987,Summer,74.16455997826091
1987,Winter,33.06801860000004
1988,Fall,54.94438004395609
1988,Spring,50.428868391304384
1988,Summer,75.34478378260873
1988,Winter,32.28411160439564
1989,Fall,56.67985419780224
1989,Spring,50.2357612608696
1989,Summer,74.02766156521743
1989,Winter,33.954069400000044
1990,Fall,58.103226945054985
1990,Spring,51.020448760869606
1990,Summer,73.89708506521744
1990,Winter,33.31785160000004
1991,Fall,56.70176296703301
1991,Spring,54.22783471739134
1991,Summer,74.96587517391309
1991,Winter,36.74205220000004
1992,Fall,55.242023890109934
1992,Spring,48.29700689130439
1992,Summer,71.78103480434787
1992,Winter,35.28648549450555
1993,Fall,56.41378729670334
1993,Spring,50.416036543478306
1993,Summer,74.85959378260874
1993,Winter,33.95752280000004
1994,Fall,57.770707604395646
1994,Spring,51.06882943478265
1994,Summer,75.19345523913047
1994,Winter,29.650720000000042
1995,Fall,57.220560945054984
1995,Spring,51.1651732608696
1995,Summer,75.03012128260875
1995,Winter,35.76345540000004
1996,Fall,55.330305384615436
1996,Spring,48.783858956521776
1996,Summer,72.32624834782614
1996,Winter,30.967817098901143
1997,Fall,55.443043142857185
1997,Spring,49.74444676086961
1997,Summer,72.7192814782609
1997,Winter,36.421185600000044
1998,Fall,57.77344360439565
1998,Spring,52.804153673913085
1998,Summer,73.68690923913049
1998,Winter,38.32121440000004
1999,Fall,57.45821356043961
1999,Spring,51.035055760869604
1999,Summer,75.39373263043481
1999,Winter,36.46498920000005
2000,Fall,55.26335250549454
2000,Spring,52.31692928260873
2000,Summer,71.87955956521743
2000,Winter,34.11589129670333
2001,Fall,57.944263010989054
2001,Spring,50.762572152173945
2001,Summer,74.59452734782613
2001,Winter,31.095397800000047
2002,Fall,56.572005516483564
2002,Spring,51.99930186956526
2002,Summer,75.67488773913047
2002,Winter,39.50550100000004
2003,Fall,57.05695043956048
2003,Spring,48.256996413043524
2003,Summer,73.74091393478265
2003,Winter,29.478095800000045
2004,Fall,57.047597956044
