year,month,Ftemp
1979,1,31.497161870967794
1979,2,21.592434071428595
1979,3,42.81240316129035
1979,4,50.15087420000005
1979,5,63.18768025806456
1979,6,68.65103660000005
1979,7,74.47741787096777
1979,8,73.59363819354844
1979,9,67.62958820000006
1979,10,54.76262696774197
1979,11,49.516144400000044
1979,12,37.884771935483904
1980,1,31.68098541935488
1980,2,27.611911586206933
1980,3,37.58352277419359
1980,4,51.73725920000005
1980,5,63.65953922580649
1980,6,68.85107120000004
1980,7,77.3739116774194
1980,8,76.7170167741936
1980,9,69.61917140000004
1980,10,54.11307490322585
1980,11,42.654981800000044
1980,12,30.759513161290357
1981,1,22.878340903225848
1981,2,36.10690121428575
1981,3,39.190001870967784
1981,4,53.81865020000004
1981,5,62.12546832258069
1981,6,72.07705880000005
1981,7,76.91935187096777
1981,8,73.62789451612906
1981,9,65.82347480000004
1981,10,52.718361161290375
1981,11,46.04167400000004
1981,12,33.75025264516133
1982,1,23.135797225806495
1982,2,32.79383728571433
1982,3,38.994974193548416
1982,4,48.62477360000005
1982,5,62.671210903225855
1982,6,67.37109740000004
1982,7,76.18476606451617
1982,8,71.91122870967746
1982,9,66.02581880000004
1982,10,55.93179780645164
1982,11,48.23235920000003
1982,12,41.18470264516133
1983,1,33.21612296774198
1983,2,33.076318357142895
1983,3,42.26232316129036
1983,4,39.884456600000036
1983,5,59.883490516129065
1983,6,72.15568100000003
1983,7,78.43817909677422
1983,8,75.91928696774197
1983,9,69.07308320000003
1983,10,56.51532064516134
1983,11,46.56067040000004
1983,12,33.77448761290326
1984,1,26.205722774193593
1984,2,37.423758137931074
1984,3,34.860427612903266
1984,4,49.299291800000034
1984,5,60.47633909677424
1984,6,72.61714580000005
1984,7,74.73304516129036
1984,8,75.32459309677422
1984,9,64.51947920000003
1984,10,59.4103436774194
1984,11,45.49582100000004
1984,12,40.760652838709724
1985,1,27.178781870967782
1985,2,32.06374121428575
1985,3,43.08201006451617
1985,4,52.77541460000005
1985,5,64.49031296774197
1985,6,67.99206980000004
1985,7,75.3748763870968
1985,8,73.98900470967746
1985,9,68.23515200000004
1985,10,57.69843335483875
1985,11,48.762281000000044
1985,12,33.28823096774199
1986,1,30.794001741935528
1986,2,29.410052642857185
1986,3,41.158431935483904
1986,4,51.15303320000003
1986,5,63.7278341290323
1986,6,71.38257920000005
1986,7,75.4427183870968
1986,8,72.7609796774194
1986,9,66.12934400000005
1986,10,57.239309677419406
1986,11,44.36856260000004
1986,12,37.81190561290326
1987,1,30.66187941935489
1987,2,30.479797785714318
1987,3,41.80470219354842
1987,4,51.59111360000004
1987,5,61.10217354838713
1987,6,72.15578780000004
1987,7,77.13113754838712
1987,8,73.141955483871
1987,9,66.63782540000004
1987,10,52.59094670967746
1987,11,46.086468200000034
1987,12,38.06262470967746
1988,1,25.933257935483915
1988,2,32.89592393103452
1988,3,41.23050451612907
1988,4,49.24075640000004
1988,5,60.77701806451617
1988,6,70.81775840000003
1988,7,77.55222664516133
1988,8,77.5183332258065
1988,9,65.77482620000005
1988,10,51.6795161290323
1988,11,47.48762660000005
1988,12,34.52307219354842
1989,1,34.47153703225812
1989,2,32.751191428571474
1989,3,39.23299400000004
1989,4,49.94313740000003
1989,5,61.52171290322583
1989,6,72.77813240000003
1989,7,75.33644987096778
1989,8,73.9280950322581
1989,9,68.06370320000005
1989,10,56.62581800000004
1989,11,45.35184260000003
1989,12,24.367939612903264
1990,1,37.31753038709682
1990,2,38.79846692857147
1990,3,42.40072516129037
1990,4,51.10689860000004
1990,5,59.556511225806496
1990,6,71.02169120000005
1990,7,75.9741927741936
1990,8,74.6026165806452
1990,9,66.09815960000005
1990,10,60.46713935483875
1990,11,47.66558480000004
1990,12,40.98315432258069
1991,1,32.69822754838714
1991,2,36.5236378571429
1991,3,43.016406451612944
1991,4,52.87185200000004
1991,5,66.75150432258067
1991,6,72.88064900000003
1991,7,76.11404000000005
1991,8,75.83567116129036
1991,9,66.90347360000005
1991,10,56.80001503225811
1991,11,46.39852520000003
1991,12,38.57372483870973
1992,1,33.356488709677464
1992,2,33.835640000000055
1992,3,37.47447064516134
1992,4,48.03408620000004
1992,5,59.373982516129075
1992,6,69.29097560000005
1992,7,74.02775290322585
1992,8,71.94405141935488
1992,9,66.95554340000005
1992,10,53.19010980645165
1992,11,45.64881560000004
1992,12,36.84009374193553
1993,1,36.05658509677422
1993,2,28.44214314285719
1993,3,36.31116316129037
1993,4,50.98943300000005
1993,5,63.9660101290323
1993,6,71.43470780000004
1993,7,78.0999567741936
1993,8,74.9336365806452
1993,9,67.16183720000005
1993,10,55.084905354838746
1993,11,47.03891540000004
1993,12,36.45374580645166
1994,1,24.476693290322622
1994,2,27.84718528571432
1994,3,38.530650258064554
1994,4,54.19651280000005
1994,5,60.58021825806456
1994,6,73.68825260000004
1994,7,78.80959980645166
1994,8,73.03395838709682
1994,9,66.88959440000004
1994,10,55.89084432258069
1994,11,50.59434620000004
1994,12,40.4014721290323
1995,1,37.01769103225811
1995,2,29.239890285714324
1995,3,42.50091954838714
1995,4,50.15684360000004
1995,5,60.805229870967786
1995,6,70.61622980000003
1995,7,77.77169890322585
1995,8,76.56005154838714
1995,9,67.04943620000003
1995,10,60.783611290322625
1995,11,43.709867000000045
1995,12,31.089127419354885
1996,1,30.092654967741986
1996,2,31.773658689655214
1996,3,36.613251354838745
1996,4,50.463437000000035
1996,5,59.329068451612955
1996,6,70.81482500000006
1996,7,72.86810290322586
1996,8,73.24706154838714
1996,9,67.76890640000005
1996,10,56.04677541935487
1996,11,42.15135200000006
1996,12,40.113977290322616
1997,1,31.001799548387137
1997,2,38.33277221428575
1997,3,41.323709677419394
1997,4,49.77619100000004
1997,5,58.13446361290327
1997,6,69.69875720000003
1997,7,75.7729196774194
1997,8,72.58873129032263
1997,9,66.71358860000004
1997,10,55.786263741935535
1997,11,43.81783640000005
1997,12,36.77998245161295
1998,1,38.94475883870972
1998,2,39.3372255714286
1998,3,42.79114341935488
1998,4,52.509702200000035
1998,5,63.10211696774197
1998,6,69.15503240000004
1998,7,76.16523316129037
1998,8,75.59427258064521
1998,9,69.74377340000004
1998,10,56.977942709677464
1998,11,46.62513140000005
1998,12,41.24676083870972
1999,1,32.42303193548391
1999,2,35.645909000000046
1999,3,40.37554748387101
1999,4,51.395025200000035
1999,5,61.34620651612908
1999,6,72.30593900000004
1999,7,79.22641767741938
1999,8,74.54923496774198
1999,9,68.09425460000004
1999,10,55.13595335483874
1999,11,49.221841400000045
1999,12,38.558626903225836
2000,1,29.6086285806452
2000,2,34.18486855172418
2000,3,45.20340238709681
2000,4,49.86271220000005
2000,5,61.805504967741975
2000,6,70.56078920000003
2000,7,72.6368952258065
2000,8,72.39845329032262
2000,9,65.82165020000004
2000,10,55.54032567741939
2000,11,44.41884920000003
2000,12,30.53772761290327
2001,1,29.20013019354843
2001,2,33.8111503571429
2001,3,38.20569625806455
2001,4,51.72365300000004
2001,5,62.38936980645165
2001,6,72.82906880000003
2001,7,73.46847896774199
2001,8,77.42908400000003
2001,9,66.86056820000005
2001,10,56.627176709677464
2001,11,50.38894700000004
2001,12,43.23371290322584
2002,1,36.75633683870972
2002,2,38.42155528571433
2002,3,42.56792774193553
2002,4,54.118451000000036
2002,5,59.379886516129076
2002,6,71.57406380000005
2002,7,78.37074819354842
2002,8,76.9475665806452
2002,9,69.24715400000004
2002,10,55.790965225806495
2002,11,44.703932000000044
2002,12,34.20219432258069
2003,1,26.56989529032262
2003,2,27.467637285714325
2003,3,38.86119412903229
2003,4,47.78609540000004
2003,5,58.10850935483876
2003,6,68.12167760000004
2003,7,76.59159103225811
2003,8,76.32820748387101
2003,9,68.10070760000005
2003,10,54.374082451612956
2003,11,48.785490200000034
2003,12,36.474757612903254
2004,1,23.92783206451617
2004,2,32.08885731034487
2004,3,41.43266193548392
2004,4,51.82409180000003
2004,5,64.8930850322581
2004,6,70.62795020000003
2004,7,74.40831006451617
2004,8,73.60587006451617
2004,9,68.58958460000004
2004,10,55.280816193548425
2004,11,47.331285800000046
2004,12,36.84147916129036
2005,1,29.26076348387101
2005,2,32.46987457142861
2005,3,36.27602716129036
2005,4,52.73870600000006
2005,5,58.0124456774194
2005,6,73.12081220000003
2005,7,76.87767896774197
2005,8,77.90074787096778
2005,9,71.81714480000004
2005,10,57.37573806451618
2005,11,48.31227980000004
2005,12,33.37963729032262
2006,1,38.185698258064555
2006,2,33.82248328571432
2006,3,40.45394851612907
2006,4,53.505791600000045
2006,5,61.51362800000005
2006,6,70.90976720000005
2006,7,78.57950290322586
2006,8,75.64532290322583
2006,9,65.84749700000005
2006,10,55.69054670967746
2006,11,50.42207000000004
2006,12,42.85463696774198
2007,1,36.921966451612946
2007,2,26.78696021428576
2007,3,38.97198877419359
2007,4,48.45231920000004
2007,5,64.29783025806455
2007,6,71.61213620000004
2007,7,75.06472361290328
2007,8,74.35224296774197
2007,9,69.16431020000005
2007,10,62.524491741935535
2007,11,45.15260840000004
2007,12,35.86694290322585
2008,1,34.50129974193552
2008,2,34.72775537931038
2008,3,41.09729522580649
2008,4,53.34186500000005
2008,5,59.2774345806452
2008,6,74.11320980000005
2008,7,77.93464419354844
2008,8,72.72825974193553
2008,9,68.52430100000005
2008,10,54.58935316129036
2008,11,45.054212000000035
2008,12,37.0964741290323
2009,1,27.33966470967746
2009,2,33.952357785714334
2009,3,39.76567380645166
2009,4,52.78092440000004
2009,5,62.144093677419384
2009,6,67.72433120000004
2009,7,73.33146296774197
2009,8,75.97224296774199
2009,9,65.92020080000003
2009,10,54.490268967741976
2009,11,50.263486400000055
2009,12,35.45480677419359
2010,1,30.56379683870971
2010,2,31.370088714285746
2010,3,46.025048387096824
2010,4,56.13859580000004
2010,5,64.5234805806452
2010,6,75.29984540000004
2010,7,80.36074690322585
2010,8,76.11681954838713
2010,9,70.03744520000005
2010,10,57.70313832258069
2010,11,46.55594240000004
2010,12,32.11729438709681
2011,1,27.865897032258104
2011,2,32.97094507142861
2011,3,41.31721864516133
2011,4,52.64320460000004
2011,5,63.95756638709681
2011,6,72.75547940000004
2011,7,79.50495606451618
2011,8,74.91213587096779
2011,9,69.66012080000004
2011,10,57.01128974193552
2011,11,49.88280020000004
2011,12,42.37030225806456
2012,1,35.856418709677456
2012,2,39.31806696551729
2012,3,48.55783883870971
2012,4,54.13077740000004
2012,5,64.78123941935489
2012,6,70.95394340000004
2012,7,78.55667367741938
2012,8,76.0122732258065
2012,9,68.21501960000005
2012,10,58.2296110322581
2012,11,42.81408560000004
2012,12,40.93791335483874
2013,1,34.58835412903229
2013,2,32.47127021428575
2013,3,39.15196787096778
2013,4,51.187408400000045
2013,5,61.36583348387101
2013,6,71.86284620000002
2013,7,79.24745445161295
2013,8,72.63069683870972
2013,9,65.41577480000005
2013,10,57.51934264516134
2013,11,43.76898140000005
2013,12,36.049272451612936
2014,1,26.200312322580682
2014,2,27.993666071428613
2014,3,34.936967096774225
2014,4,50.196709400000046
2014,5,62.304254774193595
2014,6,71.46421880000003
2014,7,75.43412251612908
2014,8,72.34251277419358
2014,9,67.45731980000004
2014,10,58.27214387096779
2014,11,43.59322040000004
2014,12,39.55148832258069
2015,1,28.1161916774194
2015,2,20.69934028571434
2015,3,34.70173787096779
2015,4,51.697600400000034
2015,5,65.8180045806452
2015,6,70.84512440000003
2015,7,76.83215290322586
2015,8,76.40662419354844
2015,9,71.52278540000003
2015,10,55.75619793548391
2015,11,51.330569600000054
2015,12,48.52866896774197
2016,1,32.940679419354886
2016,2,36.193188137931074
2016,3,46.39453206451617
2016,4,51.65723600000004
2016,5,60.97960225806456
2016,6,71.79427340000005
2016,7,78.21451690322586
2016,8,78.2027605806452
2016,9,70.66391240000004
2016,10,57.50860187096779
2016,11,48.04414940000003
2016,12,37.09283580645166
2017,1,36.504461096774236
2017,2,38.905934642857176
2017,3,38.596427483871
2017,4,55.02805940000004
